show_id,type,title,director,cast,country,date_added,release_year,duration,description,genre
S1,Tv Show,3%,Unknown,"João Miguel, Bianca Comparato, Michel Gomes, Rodolfo Valente, Vaneza Oliveira, Rafael Lozano, Viviane Porto, Mel Fronckowiak, Sergio Mamberti, Zezé Motta, Celso Frateschi",Brazil,14-08-2020,2020,4,"In A Future Where The Elite Inhabit An Island Paradise Far From The Crowded Slums, You Get One Chance To Join The 3% Saved From Squalor.",International Tv
S2,Movie,7:19,Jorge Michel Grau,"Demián Bichir, Héctor Bonilla, Oscar Serrano, Azalia Ortiz, Octavio Michel, Carmen Beato",Mexico,23-12-2016,2016,93,"After A Devastating Earthquake Hits Mexico City, Trapped Survivors From All Walks Of Life Wait To Be Rescued While Trying Desperately To Stay Alive.",Dramas
S3,Movie,23:59,Gilbert Chan,"Tedd Chan, Stella Chung, Henley Hii, Lawrence Koh, Tommy Kuan, Josh Lai, Mark Lee, Susan Leong, Benjamin Lim",Singapore,20-12-2018,2011,78,"When An Army Recruit Is Found Dead, His Fellow Soldiers Are Forced To Confront A Terrifying Secret That'S Haunting Their Jungle Island Training Camp.",Horror Movies
S4,Movie,9,Shane Acker,"Elijah Wood, John C. Reilly, Jennifer Connelly, Christopher Plummer, Crispin Glover, Martin Landau, Fred Tatasciore, Alan Oppenheimer, Tom Kane",United States,16-11-2017,2009,80,"In A Postapocalyptic World, Rag-Doll Robots Hide In Fear From Dangerous Machines Out To Exterminate Them, Until A Brave Newcomer Joins The Group.",Action
S5,Movie,21,Robert Luketic,"Jim Sturgess, Kevin Spacey, Kate Bosworth, Aaron Yoo, Liza Lapira, Jacob Pitts, Laurence Fishburne, Jack Mcgee, Josh Gad, Sam Golzari, Helen Carey, Jack Gilpin",United States,01-01-2020,2008,123,A Brilliant Group Of Students Become Card-Counting Experts With The Intent Of Swindling Millions Out Of Las Vegas Casinos By Playing Blackjack.,Dramas
S6,Tv Show,46,Serdar Akar,"Erdal Beşikçioğlu, Yasemin Allen, Melis Birkan, Saygın Soysal, Berkan Şal, Metin Belgin, Ayça Eren, Selin Uludoğan, Özay Fecht, Suna Yıldızoğlu",Turkey,01-07-2017,2016,1,"A Genetics Professor Experiments With A Treatment For His Comatose Sister That Blends Medical And Shamanic Cures, But Unlocks A Shocking Side Effect.",International Tv
S7,Movie,122,Yasir Al Yasiri,"Amina Khalil, Ahmed Dawood, Tarek Lotfy, Ahmed El Fishawy, Mahmoud Hijazi, Jihane Khalil, Asmaa Galal, Tara Emad",Egypt,01-06-2020,2019,95,"After An Awful Accident, A Couple Admitted To A Grisly Hospital Are Separated And Must Find Each Other To Escape — Before Death Finds Them.",Horror Movies
S8,Movie,187,Kevin Reynolds,"Samuel L. Jackson, John Heard, Kelly Rowan, Clifton Collins Jr., Tony Plana",United States,01-11-2019,1997,119,"After One Of His High School Students Attacks Him, Dedicated Teacher Trevor Garfield Grows Weary Of The Gang Warfare In The New York City School System And Moves To California To Teach There, Thinking It Must Be A Less Hostile Environment.",Dramas
S9,Movie,706,Shravan Kumar,"Divya Dutta, Atul Kulkarni, Mohan Agashe, Anupam Shyam, Raayo S. Bakhirta, Yashvit Sancheti, Greeva Kansara, Archan Trivedi, Rajiv Pathak",India,01-04-2019,2019,118,"When A Doctor Goes Missing, His Psychiatrist Wife Treats The Bizarre Medical Condition Of A Psychic Patient, Who Knows Much More Than He'S Leading On.",Horror Movies
S10,Movie,1920,Vikram Bhatt,"Rajneesh Duggal, Adah Sharma, Indraneil Sengupta, Anjori Alagh, Rajendranath Zutshi, Vipin Sharma, Amin Hajee, Shri Vallabh Vyas",India,15-12-2017,2008,143,An Architect And His Wife Move Into A Castle That Is Slated To Become A Luxury Hotel. But Something Inside Is Determined To Stop The Renovation.,Horror Movies
S11,Movie,1922,Zak Hilditch,"Thomas Jane, Molly Parker, Dylan Schmid, Kaitlyn Bernard, Bob Frazer, Brian D'Arcy James, Neal Mcdonough",United States,20-10-2017,2017,103,"A Farmer Pens A Confession Admitting To His Wife'S Murder, But Her Death Is Just The Beginning Of A Macabre Tale. Based On Stephen King'S Novella.",Dramas
S12,Tv Show,1983,Unknown,"Robert Więckiewicz, Maciej Musiał, Michalina Olszańska, Andrzej Chyra, Clive Russell, Zofia Wichłacz, Edyta Olszówka, Mateusz Kościukiewicz, Ewa Błaszczyk, Vu Le Hong, Tomasz Włosok, Krzysztof Wach",Poland,30-11-2018,2018,1,"In This Dark Alt-History Thriller, A Naïve Law Student And A World-Weary Detective Uncover A Conspiracy That Has Tyrannized Poland For Decades.",Crime Tv
S13,Tv Show,1994,Diego Enrique Osorno,Not Available,Mexico,17-05-2019,2019,1,"Archival Video And New Interviews Examine Mexican Politics In 1994, A Year Marked By The Rise Of The Ezln And The Assassination Of Luis Donaldo Colosio.",Crime Tv
S14,Movie,"2,215",Nottapon Boonprakob,Artiwara Kongmalai,Thailand,01-03-2019,2018,89,"This Intimate Documentary Follows Rock Star Artiwara Kongmalai On His Historic, 2,215-Kilometer Charity Run Across Thailand In 2017.",Documentaries
S15,Movie,3022,John Suits,"Omar Epps, Kate Walsh, Miranda Cosgrove, Angus Macfadyen, Jorja Fox, Enver Gjokaj, Haaz Sleiman",United States,19-03-2020,2019,91,"Stranded When The Earth Is Suddenly Destroyed In A Mysterious Cataclysm, The Astronauts Aboard A Marooned Space Station Slowly Lose Their Minds.",Independent Movies
S16,Movie,Oct-01,Kunle Afolayan,"Sadiq Daba, David Bailie, Kayode Olaiya, Kehinde Bankole, Fabian Adeoye Lojede, Nick Rhys, Kunle Afolayan, Colin David Reese, Ibrahim Shatta, Femi Adebayo, Kanayo O. Kanayo, Lawrence Stubbings, Ademola Adedoyin",Nigeria,01-09-2019,2014,149,"Against The Backdrop Of Nigeria'S Looming Independence From Britain, Detective Danladi Waziri Races To Capture A Killer Terrorizing Local Women.",Dramas
S17,Tv Show,Feb-09,Unknown,"Shahd El Yaseen, Shaila Sabt, Hala, Hanadi Al-Kandari, Salma Salem, Ibrahim Al-Harbi, Mahmoud Boushahri, Yousef Al Balushi, Ghorour, Abdullah Al-Bloshi",Unknown,20-03-2019,2018,1,"As A Psychology Professor Faces Alzheimer'S, His Daughter And Her Three Close Female Friends Experience Romance, Marriage, Heartbreak And Tragedy.",International Tv
S18,Movie,22-Jul,Paul Greengrass,"Anders Danielsen Lie, Jon Øigarden, Jonas Strand Gravli, Ola G. Furuseth, Maria Bock, Thorbjørn Harr, Jaden Smith",Norway,10-10-2018,2018,144,"After Devastating Terror Attacks In Norway, A Young Survivor, Grieving Families And The Country Rally For Justice And Healing. Based On A True Story.",Dramas
S19,Movie,15-Aug,Swapnaneel Jayakar,"Rahul Pethe, Mrunmayee Deshpande, Adinath Kothare, Vaibhav Mangale, Jaywant Wadkar, Satish Pulekar, Naina Apte, Uday Tikekar",India,29-03-2019,2019,124,"On India'S Independence Day, A Zany Mishap In A Mumbai Chawl Disrupts A Young Love Story While Compelling The Residents To Unite In Aid Of A Little Boy.",Comedies
S20,Movie,'89,Unknown,"Lee Dixon, Ian Wright, Paul Merson",United Kingdom,16-05-2018,2017,87,"Mixing Old Footage With Interviews, This Is The Story Of Arsenal'S Improbable Win Versus Liverpool In The Final Moments Of The 1989 Championship Game.",Sports Movies
S21,Movie,​​Kuch Bheege Alfaaz,Onir,"Geetanjali Thapa, Zain Khan Durrani, Shray Rai Tiwari, Mona Ambegaonkar, Chandreyee Ghosh, Barun Chanda, Saheb Bhattacharjee, Shefali Chauhan",India,01-09-2018,2018,110,"After Accidentally Connecting Over The Internet, Two Strangers Form A Tight Friendship – Not Knowing They Already Share A Bond.",Dramas
S22,Movie,​Goli Soda 2,Vijay Milton,"Samuthirakani, Bharath Seeni, Vinoth, Esakki Barath, Chemban Vinod Jose, Gautham Menon, Krisha Kurup, Subiksha",India,15-09-2018,2018,128,"A Taxi Driver, A Gangster And An Athlete Struggle To Better Their Lives Despite Obstacles Like Crooked Politicians, Evil Dons And Caste Barriers.",Action
S23,Movie,​Maj Rati ​​Keteki,Santwana Bardoloi,"Adil Hussain, Shakil Imtiaz, Mahendra Rabha, Sulakshana Baruah, Rahul Gautam Sarma, Kulada Bhattacharjya, Indu Mohan Das, Moumita Talukdar",India,15-09-2018,2017,117,"A Successful Writer Returns To The Town That Launched His Career, Encountering People Who Spark Nostalgic, Often Painfully Illuminating Flashbacks.",Dramas
S24,Movie,​Mayurakshi,Atanu Ghosh,"Soumitra Chatterjee, Prasenjit Chatterjee, Indrani Haldar, Sudipta Chakraborty, Suman Banerjee, Gargi Roychowdhury",India,15-09-2018,2017,100,"When A Middle-Aged Divorcee Returns To Kolkata To Visit His Ailing Father, Long-Buried Memories Resurface, Bringing New Discoveries With Them.",Dramas
S25,Tv Show,​Saint Seiya: Knights Of The Zodiac,Unknown,"Bryson Baugus, Emily Neves, Blake Shepard, Patrick Poole, Luci Christian, Adam Gibbs, Masakazu Morita, Fumiko Orikasa, Takahiro Sakurai, Hiroaki Miura, Satomi Sato, Katsuyuki Konishi",Japan,23-01-2020,2020,2,"Seiya And The Knights Of The Zodiac Rise Again To Protect The Reincarnation Of The Goddess Athena, But A Dark Prophecy Hangs Over Them All.",Anime Series
S26,Movie,(T)Error,"Lyric R. Cabral, David Felix Sutcliffe",Not Available,United States,30-06-2016,2015,84,This Real-Life Look At Fbi Counterterrorism Operations Features Access To Both Sides Of A Sting: The Government Informant And The Radicalized Target.,Documentaries
S27,Tv Show,(Un)Well,Unknown,Not Available,United States,12-08-2020,2020,1,"This Docuseries Takes A Deep Dive Into The Lucrative Wellness Industry, Which Touts Health And Healing. But Do The Products Live Up To The Promises?",Reality Tv
S28,Movie,#Alive,Cho Il,"Yoo Ah-In, Park Shin-Hye",South Korea,08-09-2020,2020,99,"As A Grisly Virus Rampages A City, A Lone Man Stays Locked Inside His Apartment, Digitally Cut Off From Seeking Help And Desperate To Find A Way Out.",Horror Movies
S29,Movie,#Annefrank - Parallel Stories,"Sabina Fedeli, Anna Migotto","Helen Mirren, Gengher Gatti",Italy,01-07-2020,2019,95,"Through Her Diary, Anne Frank'S Story Is Retold Alongside Those Of Five Holocaust Survivors In This Poignant Documentary From Oscar Winner Helen Mirren.",Documentaries
S30,Tv Show,#Blackaf,Unknown,"Kenya Barris, Rashida Jones, Iman Benson, Genneya Walton, Scarlet Spencer, Justin Claiborne, Ravi Cabot-Conyers",United States,17-04-2020,2020,1,"Kenya Barris And His Family Navigate Relationships, Race And Culture While Grappling With Their Newfound Success In This Comedy Series.",Tv Comedies
S31,Movie,#Cats_The_Mewvie,Michael Margolis,Not Available,Canada,05-02-2020,2020,90,"This Pawesome Documentary Explores How Our Feline Friends Became Online Icons, From The Earliest Text Memes To The Rise Of Celebrity Cat Influencers.",Documentaries
S32,Movie,#Friendbutmarried,Rako Prijanto,"Adipati Dolken, Vanesha Prescilla, Rendi Jhon, Beby Tsabina, Denira Wiraguna, Refal Hady, Diandra Agatha, Sari Nila",Indonesia,21-05-2020,2018,102,"Pining For His High School Crush For Years, A Young Man Puts Up His Best Efforts To Move Out Of The Friend Zone Until She Reveals She'S Getting Married.",Dramas
S33,Movie,#Friendbutmarried 2,Rako Prijanto,"Adipati Dolken, Mawar De Jongh, Sari Nila, Vonny Cornellya, Clay Gribble, Ivan Leonardy, Sarah Sechan, Jourdy Pranata",Indonesia,28-06-2020,2020,104,"As Ayu And Ditto Finally Transition From Best Friends To Newlyweds, A Quick Pregnancy Creates Uncertainty For The Future Of Their Young Marriage.",Dramas
S34,Movie,#Realityhigh,Fernando Lebrija,"Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers, Alicia Sanz, Jake Borelli, Kid Ink, Yousef Erakat, Rebekah Graf, Anne Winters, Peter Gilroy, Patrick Davis",United States,08-09-2017,2017,99,"When Nerdy High Schooler Dani Finally Attracts The Interest Of Her Longtime Crush, She Lands In The Cross Hairs Of His Ex, A Social Media Celebrity.",Comedies
S35,Movie,#Roxy,Michael Kennedy,"Jake Short, Sarah Fisher, Booboo Stewart, Danny Trejo, Pippa Mackie, Jake Smith, Patricia Zentilli, Carter Thicke",Canada,10-04-2019,2018,105,A Teenage Hacker With A Huge Nose Helps A Cool Kid Woo A Girl That He’S Secretly In Love With.,Comedies
S36,Movie,#Rucker50,Robert Mccullough Jr.,Not Available,United States,01-12-2016,2016,56,This Documentary Celebrates The 50Th Anniversary Of The Harlem Sports Program That Has Inspired Countless City Kids To Become Pro Basketball Players.,Documentaries
S37,Movie,#Selfie,Cristina Jacob,"Flavia Hojda, Crina Semciuc, Olimpia Melinte, Levent Sali, Vlad Logigan, Alex Calin, Alina Chivulescu, Razvan Vasilescu",Romania,01-06-2019,2014,125,"Two Days Before Their Final Exams, Three Teen Girls Make A Seaside Getaway To End Their Adolescence With A Bang.",Comedies
S38,Movie,#Selfie 69,Cristina Jacob,"Maia Morgenstern, Olimpia Melinte, Crina Semciuc, Flavia Hojda, Maria Dinulescu, Alex Calin, Vlad Logigan, Levent Sali, Silvia Busuioc, Mihaela Mihut",Romania,01-06-2019,2016,119,"After A Painful Breakup, A Trio Of Party-Loving Friends Makes A Bet: Who Can Get Married In Three Days.",Comedies
